experiment,feature_set,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,macro_precision,macro_recall
combined_random,mfcc,dummy_most_frequent,CREMA-D,1115,0.17937219730941703,0.050697084917617236,0.05456188511313066,0.029895366218236172,0.16666666666666666
combined_random,mfcc,dummy_most_frequent,RAVDESS,159,0.18867924528301888,0.05291005291005291,0.05989817310572027,0.031446540880503145,0.16666666666666666
combined_random,mfcc,dummy_most_frequent,SAVEE,63,0.1111111111111111,0.03333333333333333,0.022222222222222223,0.018518518518518517,0.16666666666666666
combined_random,mfcc,dummy_most_frequent,TESS,361,0.1440443213296399,0.041969330104923326,0.03627266202973983,0.024007386888273318,0.16666666666666666
combined_random,mfcc,logistic_regression,CREMA-D,1115,0.48071748878923765,0.47762081569018044,0.47914327906729287,0.47943173263998323,0.48171646326024203
combined_random,mfcc,logistic_regression,RAVDESS,159,0.49056603773584906,0.46342611830727276,0.48244190433862727,0.4684853242372218,0.47009344789970603
combined_random,mfcc,logistic_regression,SAVEE,63,0.5714285714285714,0.4746179746179746,0.5528175528175527,0.5083333333333333,0.4613095238095238
combined_random,mfcc,logistic_regression,TESS,361,0.9833795013850416,0.9833240376825905,0.9834249363913856,0.9834502912671409,0.983606992973297
combined_random,mfcc,linear_svm,CREMA-D,1115,0.48789237668161434,0.4823027772580953,0.483298499955401,0.4851470853158369,0.4896151032786978
combined_random,mfcc,linear_svm,RAVDESS,159,0.4528301886792453,0.4292220329482436,0.4449416096562443,0.4366557734204794,0.43672303633129667
combined_random,mfcc,linear_svm,SAVEE,63,0.5555555555555556,0.44522711587928976,0.5227889662672272,0.5020489926739927,0.4404761904761904
combined_random,mfcc,linear_svm,TESS,361,0.9889196675900277,0.9892179185764713,0.9889436309682519,0.9893271857923498,0.9894080422065495
combined_random,mfcc,random_forest,CREMA-D,1115,0.473542600896861,0.46122289257467325,0.4641317601968055,0.4694302484565707,0.4726321297749869
combined_random,mfcc,random_forest,RAVDESS,159,0.4339622641509434,0.42409423048957934,0.4315235680088686,0.4964688974471583,0.4388429441193382
combined_random,mfcc,random_forest,SAVEE,63,0.6190476190476191,0.48831943918150805,0.5777756726032588,0.6135387488328664,0.4847222222222221
combined_random,mfcc,random_forest,TESS,361,0.9944598337950139,0.9946180555555556,0.9944627192982456,0.9945355191256832,0.9948717948717949
combined_random,mfcc,extra_trees,CREMA-D,1115,0.48251121076233183,0.4676619213519228,0.47030057755298776,0.48408494319347034,0.48205398288347595
combined_random,mfcc,extra_trees,RAVDESS,159,0.4025157232704403,0.4036643663412689,0.41168542837535466,0.5195397682239787,0.41252357692121683
combined_random,mfcc,extra_trees,SAVEE,63,0.6507936507936508,0.5294487760005001,0.6153881027444247,0.6509803921568628,0.5154761904761904
