protocol,model,dataset,n_samples,accuracy,macro_f1,weighted_f1,uar,macro_precision,macro_recall
combined_random,deep_coattention_full,CREMA-D,1115,0.7067264573991031,0.7094650790856912,0.7072093723321907,0.7103722647040619,0.7121199361006969,0.7103722647040619
combined_random,deep_coattention_full,RAVDESS,159,0.8490566037735849,0.8414501229660803,0.8470383102408393,0.8474934575722891,0.840220531102884,0.8474934575722891
combined_random,deep_coattention_full,SAVEE,63,0.8412698412698413,0.810442523517971,0.8413770426923514,0.8226190476190475,0.8287878787878787,0.8226190476190475
combined_random,deep_coattention_full,TESS,361,1.0,1.0,1.0,1.0,1.0,1.0
combined_random,stats_rbf_svm,CREMA-D,1115,0.5354260089686098,0.5298225969474984,0.5333810773944323,0.5331756300535102,0.5301075318363592,0.5331756300535102
combined_random,stats_rbf_svm,RAVDESS,159,0.6352201257861635,0.6191444762483014,0.6298220347813089,0.617115098364796,0.6629812445927574,0.617115098364796
combined_random,stats_rbf_svm,SAVEE,63,0.42857142857142855,0.3903214077442752,0.43293660711342846,0.4353174603174603,0.4209859584859585,0.4353174603174603
combined_random,stats_rbf_svm,TESS,361,0.997229916897507,0.9973032339444553,0.9972286517717995,0.9971751412429378,0.9974747474747474,0.9971751412429378
combined_random,emotion2vec_logreg,CREMA-D,1115,0.6502242152466368,0.651695149514263,0.6489005595439086,0.6539061629614625,0.650023066744652,0.6539061629614625
combined_random,emotion2vec_logreg,RAVDESS,159,0.7672955974842768,0.7613525067956854,0.7669416368389352,0.7611960148957779,0.7621213876810372,0.7611960148957779
combined_random,emotion2vec_logreg,SAVEE,63,0.6507936507936508,0.5953535353535354,0.64007696007696,0.5950396825396825,0.645405982905983,0.5950396825396825
combined_random,emotion2vec_logreg,TESS,361,0.9113573407202216,0.9105426699320048,0.9121461734206817,0.9116292863514248,0.9119628890646471,0.9116292863514248
combined_random,emotion2vec_mlp,CREMA-D,1115,0.6780269058295965,0.6788854904911714,0.6769077156353843,0.6822569813698847,0.6781449541548322,0.6822569813698847
combined_random,emotion2vec_mlp,RAVDESS,159,0.8364779874213837,0.8250774918531835,0.8335435178153795,0.8303767471103157,0.8252882190453348,0.8303767471103157
combined_random,emotion2vec_mlp,SAVEE,63,0.7301587301587301,0.7096370618109749,0.7287159432086968,0.7238095238095238,0.7135642135642134,0.7238095238095238
combined_random,emotion2vec_mlp,TESS,361,0.9889196675900277,0.9881981858786428,0.9888897036910196,0.9882465698143664,0.9886188271604938,0.9882465698143664
combined_random,stacking_full,CREMA-D,1115,0.7336322869955157,0.735138170199226,0.7329704624978347,0.7369615778486747,0.7347943238819269,0.7369615778486747
combined_random,stacking_full,RAVDESS,159,0.8679245283018868,0.8613473393078656,0.8669866191589131,0.8607908411385704,0.864582331248998,0.8607908411385704
combined_random,stacking_full,SAVEE,63,0.7777777777777778,0.7357897004955828,0.7735196642759666,0.7374999999999999,0.7511111111111112,0.7374999999999999
combined_random,stacking_full,TESS,361,0.997229916897507,0.996988196988197,0.997231269807447,0.9971751412429378,0.9968553459119497,0.9971751412429378
combined_strict_no_tess,deep_coattention_full,CREMA-D,1716,0.6695804195804196,0.6699952111348786,0.6678910970043824,0.6731911942672993,0.6735554953482344,0.6731911942672993
combined_strict_no_tess,deep_coattention_full,RAVDESS,132,0.6136363636363636,0.5892826338943448,0.597399236975649,0.5902777777777778,0.6678007518796992,0.5902777777777778
combined_strict_no_tess,deep_coattention_full,SAVEE,105,0.6857142857142857,0.6727504315910112,0.6884444693140345,0.65,0.7307886557886558,0.65
combined_strict_no_tess,stats_rbf_svm,CREMA-D,1716,0.4970862470862471,0.4975223815958558,0.49808399968279954,0.49853600387981634,0.5045809977118487,0.49853600387981634
combined_strict_no_tess,stats_rbf_svm,RAVDESS,132,0.3409090909090909,0.31374034462269756,0.3208718198023011,0.3263888888888889,0.40196759259259257,0.3263888888888889
combined_strict_no_tess,stats_rbf_svm,SAVEE,105,0.2761904761904762,0.21246475264871653,0.25887170696116,0.2222222222222222,0.24655727155727156,0.2222222222222222
combined_strict_no_tess,emotion2vec_logreg,CREMA-D,1716,0.6398601398601399,0.641903883860897,0.639899200365651,0.6426580367948004,0.6438787258998268,0.6426580367948004
combined_strict_no_tess,emotion2vec_logreg,RAVDESS,132,0.696969696969697,0.6991533451096994,0.6957270941866577,0.6875,0.7592099170291422,0.6875
combined_strict_no_tess,emotion2vec_logreg,SAVEE,105,0.580952380952381,0.5538353421585519,0.5684660075644731,0.5611111111111111,0.5676319437929345,0.5611111111111111
combined_strict_no_tess,emotion2vec_mlp,CREMA-D,1716,0.6882284382284383,0.6893850362291576,0.6872164171732092,0.6912985147011499,0.6905463640582892,0.6912985147011499
combined_strict_no_tess,emotion2vec_mlp,RAVDESS,132,0.6818181818181818,0.677935463229581,0.6789598992807548,0.6666666666666666,0.7642717497556207,0.6666666666666666
combined_strict_no_tess,emotion2vec_mlp,SAVEE,105,0.6761904761904762,0.6679702795096533,0.6707602395797029,0.6666666666666666,0.7212081470014905,0.6666666666666666
combined_strict_no_tess,stacking_full,CREMA-D,1716,0.6975524475524476,0.6974261290556102,0.6951616532623863,0.7018275022775792,0.7028243922099158,0.7018275022775792
combined_strict_no_tess,stacking_full,RAVDESS,132,0.6893939393939394,0.688509754469253,0.6818374810660249,0.6875,0.7215651548984883,0.6875
combined_strict_no_tess,stacking_full,SAVEE,105,0.6761904761904762,0.6720704818530905,0.675266762223284,0.65,0.7395382395382396,0.65
