train_sample_id,utterance_id,wav_path,original_samples,original_seconds_after_resample,was_truncated,peak_abs
iemocap_train_00000,Ses01F_impro01_F000,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F000.wav,31129,1.9455625,False,0.09320068359375
iemocap_train_00001,Ses01F_impro01_F001,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F001.wav,22119,1.3824375,False,0.19061279296875
iemocap_train_00002,Ses01F_impro01_F002,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F002.wav,50084,3.13025,False,0.194610595703125
iemocap_train_00003,Ses01F_impro01_F005,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F005.wav,64479,4.0299375,False,0.888580322265625
iemocap_train_00004,Ses01F_impro01_F012,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F012.wav,44000,2.75,False,0.999969482421875
iemocap_train_00005,Ses01F_impro01_F014,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro01/Ses01F_impro01_F014.wav,81120,5.07,False,0.390777587890625
iemocap_train_00006,Ses01F_impro02_F000,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F000.wav,149299,9.3311875,False,0.091522216796875
iemocap_train_00007,Ses01F_impro02_F001,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F001.wav,46880,2.93,False,0.040863037109375
iemocap_train_00008,Ses01F_impro02_F002,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F002.wav,91576,5.7235,False,0.1373291015625
iemocap_train_00009,Ses01F_impro02_F003,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F003.wav,90440,5.6525,False,0.151519775390625
iemocap_train_00010,Ses01F_impro02_F004,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F004.wav,92319,5.7699375,False,0.12017822265625
iemocap_train_00011,Ses01F_impro02_F005,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F005.wav,40960,2.56,False,0.102142333984375
iemocap_train_00012,Ses01F_impro02_F006,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F006.wav,67440,4.215,False,0.2120361328125
iemocap_train_00013,Ses01F_impro02_F008,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F008.wav,62189,3.8868125,False,0.081512451171875
iemocap_train_00014,Ses01F_impro02_F010,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F010.wav,68000,4.25,False,0.058258056640625
iemocap_train_00015,Ses01F_impro02_F012,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F012.wav,48488,3.0305,False,0.095550537109375
iemocap_train_00016,Ses01F_impro02_F013,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro02/Ses01F_impro02_F013.wav,98007,6.1254375,False,0.2220458984375
