train_sample_id,sample_id,utterance_id,conversation_id,session,speaker_id,gender,original_emotion,emotion,start_time,end_time,eval_duration,valence,arousal,dominance,wav_path,wav_found,duration,sample_rate,channels,transcript,transcript_found,transcript_file,eval_file,is_4class,emotion_4class,emotion_id,valence_norm,arousal_norm,dominance_norm,source_dataset,word_count,transcript_norm_for_match
iemocap_train_02569,iemocap_05505,Ses03M_script02_2_F000,Ses03M_script02_2,Ses03,Ses03F,female,ang,angry,7.2672,9.5454,2.278200000000001,2.6667,2.6667,2.3333,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F000.wav,True,2.278125,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03M_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03M_script02_2.txt,True,angry,1,0.416675,0.416675,0.333325,IEMOCAP_full_release,2,about what
iemocap_train_03470,iemocap_06568,Ses04F_script02_1_F021,Ses04F_script02_1,Ses04,Ses04F,female,ang,angry,289.27,290.95,1.6800000000000068,2.5,2.0,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_F021.wav,True,1.68,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/transcriptions/Ses04F_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session4/dialog/EmoEvaluation/Ses04F_script02_1.txt,True,angry,1,0.375,0.25,0.375,IEMOCAP_full_release,2,about what
iemocap_train_00170,iemocap_00564,Ses01F_script02_1_F025,Ses01F_script02_1,Ses01,Ses01F,female,neu,neutral,326.56,329.03,2.4699999999999704,2.5,1.5,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_1/Ses01F_script02_1_F025.wav,True,2.4699375,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_script02_1.txt,True,neutral,0,0.375,0.125,0.25,IEMOCAP_full_release,2,about what
iemocap_train_00172,iemocap_00611,Ses01F_script02_2_F001,Ses01F_script02_2,Ses01,Ses01F,female,neu,neutral,9.58,11.4525,1.8725000000000005,2.5,2.0,3.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script02_2/Ses01F_script02_2_F001.wav,True,1.8725,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/transcriptions/Ses01F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session1/dialog/EmoEvaluation/Ses01F_script02_2.txt,True,neutral,0,0.375,0.25,0.5,IEMOCAP_full_release,2,about what
iemocap_train_01248,iemocap_02410,Ses02F_script02_1_F021,Ses02F_script02_1,Ses02,Ses02F,female,neu,neutral,287.68,289.17,1.490000000000009,3.5,2.0,3.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_F021.wav,True,1.49,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02F_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02F_script02_1.txt,True,neutral,0,0.625,0.25,0.5,IEMOCAP_full_release,2,about what
iemocap_train_01249,iemocap_02457,Ses02F_script02_2_F000,Ses02F_script02_2,Ses02,Ses02F,female,neu,neutral,6.33,7.72,1.3899999999999997,2.5,2.0,2.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F000.wav,True,1.3899375,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02F_script02_2.txt,True,neutral,0,0.375,0.25,0.375,IEMOCAP_full_release,2,about what
iemocap_train_01506,iemocap_03334,Ses02M_script02_1_F021,Ses02M_script02_1,Ses02,Ses02F,female,neu,neutral,311.58,312.91,1.330000000000041,2.5,2.0,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F021.wav,True,1.33,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/transcriptions/Ses02M_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session2/dialog/EmoEvaluation/Ses02M_script02_1.txt,True,neutral,0,0.375,0.25,0.25,IEMOCAP_full_release,2,about what
iemocap_train_02317,iemocap_04339,Ses03F_script02_2_F000,Ses03F_script02_2,Ses03,Ses03F,female,neu,neutral,8.5564,11.2227,2.6663,3.0,2.0,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script02_2/Ses03F_script02_2_F000.wav,True,2.66625,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03F_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03F_script02_2.txt,True,neutral,0,0.5,0.25,0.25,IEMOCAP_full_release,2,about what
iemocap_train_04817,iemocap_09801,Ses05M_script02_2_F000,Ses05M_script02_2,Ses05,Ses05F,female,neu,neutral,7.82,9.43,1.6099999999999994,3.0,2.0,2.0,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/sentences/wav/Ses05M_script02_2/Ses05M_script02_2_F000.wav,True,1.61,16000,1,About what?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/transcriptions/Ses05M_script02_2.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session5/dialog/EmoEvaluation/Ses05M_script02_2.txt,True,neutral,0,0.5,0.25,0.25,IEMOCAP_full_release,2,about what
iemocap_train_03206,iemocap_05503,Ses03M_script02_1_M043,Ses03M_script02_1,Ses03,Ses03M,male,exc,happy,346.5589,349.3624,2.803499999999985,3.5,3.5,3.5,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_M043.wav,True,2.8034375,16000,1,About what I just said?,True,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/transcriptions/Ses03M_script02_1.txt,/kaggle/input/datasets/dejolilandry/iemocapfullrelease/IEMOCAP_full_release/Session3/dialog/EmoEvaluation/Ses03M_script02_1.txt,True,happy,3,0.625,0.625,0.625,IEMOCAP_full_release,5,about what i just said
