pc1,pc2,emotion_4class,speaker_id
23.025831,-3.4294116,neutral,Ses01F
25.636549,-4.0272827,neutral,Ses01F
14.668956,-2.9205396,neutral,Ses01F
-1.6755768,10.691135,neutral,Ses01F
12.230195,5.4821835,angry,Ses01F
-15.49937,15.995321,neutral,Ses01F
-13.580759,-16.210327,sad,Ses01F
20.1269,-7.302095,sad,Ses01F
-0.91698915,-2.248517,sad,Ses01F
-0.94287616,-2.8953886,neutral,Ses01F
1.0379143,-4.677098,sad,Ses01F
19.595907,-1.8396093,sad,Ses01F
5.19679,-0.15946251,neutral,Ses01F
8.300093,-7.0249004,sad,Ses01F
10.176432,-10.874549,sad,Ses01F
15.709323,-2.476517,sad,Ses01F
-3.099252,-2.3074949,sad,Ses01F
-14.494874,-5.317988,sad,Ses01F
11.219343,-1.5949733,sad,Ses01F
21.502317,-4.7783356,neutral,Ses01F
-20.457848,4.659712,sad,Ses01F
15.452738,-4.119448,neutral,Ses01F
16.134687,-5.963513,sad,Ses01F
3.4777262,-3.4433563,sad,Ses01F
9.723955,5.685954,happy,Ses01F
5.1469026,3.4184473,happy,Ses01F
8.842493,12.829052,happy,Ses01F
-9.264891,17.86567,happy,Ses01F
8.767209,9.593715,happy,Ses01F
-22.235565,4.60242,happy,Ses01F
7.395714,10.671865,happy,Ses01F
16.258484,9.515596,happy,Ses01F
5.4718294,9.176264,happy,Ses01F
15.946261,5.876297,happy,Ses01F
-13.017143,10.572945,happy,Ses01F
-8.776025,8.552321,happy,Ses01F
19.734035,0.14782436,happy,Ses01F
10.26742,5.019608,neutral,Ses01F
12.136696,1.8514498,neutral,Ses01F
24.678173,-3.3235128,neutral,Ses01F
-16.388668,13.070853,happy,Ses01F
21.089935,-3.7080429,neutral,Ses01F
31.404778,-9.249523,neutral,Ses01F
-4.1632714,10.090385,happy,Ses01F
-4.0313764,10.17924,happy,Ses01F
-16.455667,7.9803634,happy,Ses01F
-1.5469818,5.661785,neutral,Ses01F
0.78223485,0.38556117,neutral,Ses01F
21.928846,-6.1540565,neutral,Ses01F
3.372145,7.810247,neutral,Ses01F
25.592218,-2.5699396,neutral,Ses01F
-0.9545278,5.1071143,neutral,Ses01F
24.40715,-2.5273151,neutral,Ses01F
19.9346,0.66220653,angry,Ses01F
9.093125,6.3644805,angry,Ses01F
3.5984347,10.402777,angry,Ses01F
-5.279738,7.5694036,angry,Ses01F
14.731444,-3.1687746,angry,Ses01F
-10.761147,2.763949,angry,Ses01F
17.83227,3.348664,angry,Ses01F
-29.410322,5.3058724,angry,Ses01F
19.135029,3.319993,angry,Ses01F
-16.304876,11.3666725,angry,Ses01F
4.7971816,7.312221,angry,Ses01F
-86.155075,2.7314403,angry,Ses01F
-12.68099,19.665419,angry,Ses01F
-60.180798,9.531031,angry,Ses01F
7.319808,17.609066,angry,Ses01F
-21.227606,20.830704,angry,Ses01F
-12.714205,14.6022835,angry,Ses01F
-14.464948,14.442066,angry,Ses01F
-2.0107515,15.105082,angry,Ses01F
16.443443,9.320449,angry,Ses01F
23.50724,0.22909175,angry,Ses01F
3.9765816,13.114536,angry,Ses01F
21.954416,0.81117886,angry,Ses01F
21.567463,-2.266837,angry,Ses01F
2.6277597,2.7698061,angry,Ses01F
6.9256077,3.7533603,angry,Ses01F
29.082384,-9.481665,sad,Ses01F
28.330584,-7.2468586,neutral,Ses01F
25.955103,-10.263962,neutral,Ses01F
-10.544724,-9.117989,sad,Ses01F
-37.85255,-27.002821,sad,Ses01F
-17.525875,-12.6271925,sad,Ses01F
