train_sample_id,utterance_id,conversation_id,session,speaker_id,gender,emotion_4class,emotion_id,original_emotion,valence,arousal,dominance,valence_norm,arousal_norm,dominance_norm,start_time,end_time,eval_duration,duration,sample_rate,channels,wav_path
iemocap_hf_00000,Ses01F_impro01_F000,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.666666984558105,2.3333330154418945,2.0,0.4166667461395263,0.3333332538604736,0.25,0.0,1.9455625,1.9455625,1.9455625,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F000.wav
iemocap_hf_00001,Ses01F_impro01_F001,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.3333330154418945,2.666666984558105,2.3333330154418945,0.3333332538604736,0.4166667461395263,0.3333332538604736,0.0,1.3824375,1.3824375,1.3824375,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F001.wav
iemocap_hf_00002,Ses01F_impro01_F002,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.666666984558105,2.666666984558105,2.666666984558105,0.4166667461395263,0.4166667461395263,0.4166667461395263,0.0,3.13025,3.13025,3.13025,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F002.wav
iemocap_hf_00003,Ses01F_impro01_F003,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.3333330154418945,3.0,3.0,0.3333332538604736,0.5,0.5,0.0,1.4975,1.4975,1.4975,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F003.wav
iemocap_hf_00004,Ses01F_impro01_F004,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.666666984558105,3.3333330154418945,2.666666984558105,0.4166667461395263,0.5833332538604736,0.4166667461395263,0.0,3.41425,3.41425,3.41425,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F004.wav
iemocap_hf_00005,Ses01F_impro01_F005,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.666666984558105,3.3333330154418945,2.3333330154418945,0.4166667461395263,0.5833332538604736,0.3333332538604736,0.0,4.0299375,4.0299375,4.0299375,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F005.wav
iemocap_hf_00012,Ses01F_impro01_F012,Ses01F_impro01,Ses01,Ses01F,female,angry,1,angry,2.0,3.6666669845581055,3.6666669845581055,0.25,0.6666667461395264,0.6666667461395264,0.0,2.75,2.75,2.75,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F012.wav
iemocap_hf_00014,Ses01F_impro01_F014,Ses01F_impro01,Ses01,Ses01F,female,neutral,0,neutral,2.3333330154418945,3.6666669845581055,3.6666669845581055,0.3333332538604736,0.6666667461395264,0.6666667461395264,0.0,5.07,5.07,5.07,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_F014.wav
iemocap_hf_00027,Ses01F_impro01_M011,Ses01F_impro01,Ses01,Ses01M,male,angry,1,angry,2.0,3.6666669845581055,4.0,0.25,0.6666667461395264,0.75,0.0,7.2399375,7.2399375,7.2399375,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_M011.wav
iemocap_hf_00029,Ses01F_impro01_M013,Ses01F_impro01,Ses01,Ses01M,male,angry,1,angry,1.6666669845581057,4.333333015441895,4.333333015441895,0.1666667461395263,0.8333332538604736,0.8333332538604736,0.0,6.0299375,6.0299375,6.0299375,16000,1,D:\UTE\Speech Programming\Speech Project\06_w2v_based_models\datasets\AbstractTTS_IEMOCAP\audio_wav\Ses01F_impro01_M013.wav
